,s,h,z
0,1.0885475780294407,0.4182839101287736,0.19749704678775581
1,0.992376400269606,0.6001907395492598,0.11833696797560574
2,0.8445723927757358,0.4243863280616274,0.03173482354189466
3,1.086800907125379,0.5117831156758791,0.20369157666569856
4,1.0939362334797331,0.4748030788420933,0.21963877424600867
5,0.943147727642988,0.6198056183548073,0.11212017031559214
6,0.8361115402568622,0.3738705355498501,0.05130040069615402
7,0.8218724308685955,0.465103458935444,0.03582281162483339
8,0.8547070992168704,0.5000473259184832,0.03023354453150806
9,0.9965314225539477,0.3252012923341708,0.11524075976669082
10,0.9187632032977597,0.34312524898057584,0.061626981894527866
11,1.0892283259179236,0.4308216504736927,0.18703573037801113
12,1.0077513016419148,0.5902640050911544,0.1210780635009222
13,0.8654729062054295,0.44763981096036676,0.024604041679973238
14,0.8735861884322073,0.4885146018138742,0.025250997032997213
15,1.0386493565196024,0.3519835669818583,0.1351896254005206
16,0.9758719954227276,0.5793544046978151,0.08377746228414634
17,-1.041598397567582,-0.4605115568132039,-0.21965303372826814
18,-1.0259761728736347,-0.2445104095248658,-0.20709736114604327
19,-0.7860291166179323,-0.4131146904328086,-0.0354837098396579
20,-0.7754268634364159,-0.36486290775167607,-0.0339860523430521
21,-1.0128835661522773,-0.4999529576436188,-0.19839533160470813
22,-0.7933326748628425,-0.44412046832340946,-0.043728215600813136
23,-0.8235221817986779,-0.2559137713669512,-0.04989115768580893
24,-1.06117498905724,-0.3766205916058435,-0.2551261358369919
25,-0.8444246395868491,-0.24434709703274854,-0.053956477458845936
26,-1.0640369891411616,-0.3391619881758259,-0.226633838007552
27,-0.8681797473356865,-0.4957409431367693,-0.061122695872898036
28,-0.8020218211520921,-0.3459800881729911,-0.023704041791461822
29,-1.022000463522809,-0.48355463369460605,-0.17220260489233263
30,-0.8389398297863198,-0.4447219456188079,-0.030945010167163278
31,-1.008280676989854,-0.4928638424236813,-0.15400111065232805
32,-0.8920901322536726,-0.24782221570862606,-0.05198363195033284
33,-0.925334455722481,-0.227762834580222,-0.07896588697633664
